src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,flags,label,attack_cat,timestamp,flow_id
192.168.123.63,10.0.231.177,56000,993,TCP,245,13919,53.330993991493756,ACK,0,Normal,2025-11-06 10:28:26.274674,flow_000001
192.168.89.157,8.8.8.8,61809,53,UDP,2,225,0.47214885809156676,,0,Normal,2025-11-06 04:52:52.274678,flow_000002
192.168.145.169,8.8.149.5,52484,443,HTTP,171,26304,18.021234211591434,"PSH,ACK",0,Normal,2025-11-06 15:14:40.274681,flow_000004
203.0.106.53,10.0.64.6,50629,80,TCP,8571,278509,2.699270988221533,"SYN,ACK",1,DoS,2025-11-06 06:07:09.274683,flow_000005
192.168.178.105,8.8.8.8,56693,53,UDP,6,131,0.8444149255543606,,0,Normal,2025-11-07 00:40:46.274684,flow_000006
192.168.239.235,8.8.139.20,57529,80,TCP,111,46445,13.395910988615347,,0,Normal,2025-11-06 03:42:54.274686,flow_000007
192.168.35.9,8.8.140.248,59801,443,HTTP,24,28685,2.066787361212922,ACK,0,Normal,2025-11-07 00:30:32.274688,flow_000009
192.168.67.32,10.0.4.198,51929,993,TCP,129,11251,10.999366237741368,"PSH,ACK",0,Normal,2025-11-06 03:34:52.274690,flow_000010
203.0.76.237,10.0.203.145,6234,80,TCP,7075,70143,4.765805425556498,"SYN,ACK",1,DoS,2025-11-06 12:39:44.274691,flow_000011
192.168.77.122,10.0.9.89,54850,25,TCP,87,3500,27.214548519516622,"FIN,ACK",0,Normal,2025-11-07 02:22:54.274696,flow_000012
192.168.146.202,8.8.36.251,60813,80,HTTP,135,17912,6.294445857851318,"PSH,ACK",0,Normal,2025-11-07 00:55:26.274697,flow_000013
192.168.53.127,10.0.36.207,59191,993,TCP,135,7363,35.13172101075727,ACK,0,Normal,2025-11-06 20:40:46.274700,flow_000015
192.168.135.235,10.0.3.58,52531,22,TCP,85,2058,8.26178829540922,"PSH,ACK",0,Normal,2025-11-06 21:08:21.274701,flow_000016
192.168.102.149,8.8.181.46,51518,443,TCP,319,34704,14.049840743691785,ACK,0,Normal,2025-11-06 04:57:15.274704,flow_000018
192.168.239.113,8.8.64.116,58156,80,TCP,426,31610,12.233780000074198,"PSH,ACK",0,Normal,2025-11-07 02:53:52.274706,flow_000020
192.168.59.238,10.0.115.227,61981,22,TCP,123,12606,31.989118650406102,ACK,0,Normal,2025-11-06 07:20:47.274708,flow_000021
203.0.144.237,10.0.214.111,48218,393,TCP,9,50,0.049784348033873965,RST,1,Reconnaissance,2025-11-06 14:58:14.274709,flow_000022
192.168.132.170,10.0.233.50,54359,25,TCP,172,5432,28.754929398948615,ACK,0,Normal,2025-11-06 04:07:01.274711,flow_000023
203.0.62.123,10.0.147.53,64279,5432,TCP,246,61488,4.794079749316805,"PSH,ACK",1,Exploits,2025-11-07 02:09:17.274712,flow_000024
203.0.9.93,10.0.247.134,40481,1007,TCP,7,139,0.06568083453212833,SYN,1,Reconnaissance,2025-11-06 07:57:59.274714,flow_000025
192.168.46.183,10.0.237.4,57727,587,TCP,281,6015,2.620207162068913,"FIN,ACK",0,Normal,2025-11-07 01:16:33.274715,flow_000026
192.168.39.153,10.0.187.40,49976,993,TCP,75,19025,11.913291506243208,"FIN,ACK",0,Normal,2025-11-06 09:04:05.274717,flow_000027
192.168.78.199,8.8.8.8,50281,53,UDP,4,259,0.39135119757961545,,0,Normal,2025-11-06 12:52:09.274718,flow_000028
203.0.10.141,10.0.24.30,49368,297,TCP,4,142,0.0706801993946755,RST,1,Reconnaissance,2025-11-06 23:24:20.274719,flow_000029
203.0.152.221,10.0.132.75,61473,80,UDP,6977,675209,3.6188026234087056,SYN,1,DoS,2025-11-06 16:38:03.274721,flow_000030
10.0.198.2,203.0.17.61,43949,31337,TCP,324,7985,9.972631734641668,ACK,1,Backdoor,2025-11-06 22:34:05.274723,flow_000032
192.168.195.7,10.0.147.22,55649,587,TCP,22,5203,17.390235121248384,"PSH,ACK",0,Normal,2025-11-06 23:13:27.274726,flow_000034
192.168.55.24,8.8.8.4,63927,53,UDP,4,134,0.7052910580790329,,0,Normal,2025-11-06 16:30:53.274728,flow_000036
192.168.230.162,8.8.219.2,61723,80,HTTP,72,29886,2.6870308145845088,"PSH,ACK",0,Normal,2025-11-06 21:11:55.274729,flow_000037
192.168.104.117,8.8.8.8,50450,53,UDP,6,437,0.42574921583177044,,0,Normal,2025-11-06 11:25:18.274730,flow_000038
192.168.31.245,8.8.8.4,51206,53,UDP,3,80,0.7785035702767105,,0,Normal,2025-11-07 00:19:59.274733,flow_000040
192.168.123.122,8.8.56.251,63965,443,HTTPS,101,45866,5.040995824766805,ACK,0,Normal,2025-11-06 18:53:35.274736,flow_000042
192.168.118.55,8.8.236.159,57008,80,TCP,493,22446,8.704640774367364,"PSH,ACK",0,Normal,2025-11-06 11:02:30.274738,flow_000044
203.0.127.222,10.0.135.133,60956,1433,HTTPS,418,94000,5.442037102119348,"FIN,ACK",1,Exploits,2025-11-06 23:35:25.274743,flow_000048
192.168.175.180,8.8.4.8,58433,53,UDP,10,415,0.23487753824563626,,0,Normal,2025-11-06 07:31:36.274744,flow_000049
192.168.128.108,10.0.3.125,64629,25,TCP,195,2399,14.534022495341107,"FIN,ACK",0,Normal,2025-11-06 04:39:11.274747,flow_000051
192.168.48.13,10.0.241.207,63833,25,TCP,20,9196,57.039639580446774,ACK,0,Normal,2025-11-06 08:04:48.274748,flow_000052
203.0.210.17,10.0.186.88,33474,443,TCP,3715,347685,3.525123171468319,RST,1,DoS,2025-11-06 04:35:41.274750,flow_000053
192.168.148.148,8.8.192.78,49499,80,TCP,231,5112,0.6269480027787468,,0,Normal,2025-11-06 07:07:16.274751,flow_000054
192.168.110.233,8.8.150.87,57060,443,HTTP,407,7070,25.3906530430966,"PSH,ACK",0,Normal,2025-11-06 17:10:12.274752,flow_000055
192.168.244.147,10.0.192.43,53541,25,TCP,190,18347,45.72689502619471,ACK,0,Normal,2025-11-06 13:49:51.274753,flow_000056
192.168.173.207,8.8.8.8,51715,53,UDP,2,280,0.7907027684847044,,0,Normal,2025-11-06 15:38:52.274755,flow_000057
192.168.26.171,8.8.30.24,61155,443,HTTPS,76,14487,15.932113476424691,ACK,0,Normal,2025-11-06 14:54:09.274756,flow_000058
192.168.74.119,8.8.4.8,57944,53,UDP,10,110,0.3001578762002654,,0,Normal,2025-11-06 15:54:54.274758,flow_000060
192.168.183.238,8.8.8.4,50194,53,UDP,7,265,0.234651161750992,,0,Normal,2025-11-06 05:07:18.274759,flow_000061
192.168.24.190,8.8.8.8,59608,53,UDP,3,369,0.32522494812818725,,0,Normal,2025-11-06 14:52:00.274761,flow_000062
192.168.198.98,8.8.4.8,51991,53,UDP,7,391,0.36996661328479064,,0,Normal,2025-11-07 00:56:16.274763,flow_000064
192.168.8.178,8.8.71.181,50892,80,TCP,113,39318,12.936568657632376,,0,Normal,2025-11-07 00:43:08.274765,flow_000065
192.168.164.197,10.0.179.158,55054,587,TCP,190,16977,49.245075214980474,ACK,0,Normal,2025-11-06 21:04:51.274766,flow_000066
192.168.107.163,8.8.8.4,53701,53,UDP,10,217,0.5869362165774051,,0,Normal,2025-11-06 04:11:55.274768,flow_000067
192.168.220.18,8.8.4.8,56280,53,UDP,10,192,0.6405397141662054,,0,Normal,2025-11-06 20:29:20.274770,flow_000069
203.0.26.178,10.0.97.30,54481,80,UDP,6333,772732,1.497740792481623,"SYN,ACK",1,DoS,2025-11-06 05:29:28.274773,flow_000071
192.168.165.15,8.8.139.97,59888,80,HTTPS,96,10200,9.100910310228057,ACK,0,Normal,2025-11-06 11:46:27.274774,flow_000072
192.168.213.140,8.8.48.62,61770,80,HTTP,288,4023,27.491188016204756,"PSH,ACK",0,Normal,2025-11-06 19:56:59.274776,flow_000074
192.168.165.43,8.8.223.150,58121,80,TCP,378,45076,12.324292951214145,"PSH,ACK",0,Normal,2025-11-06 11:52:21.274778,flow_000075
192.168.40.233,10.0.164.188,54352,25,TCP,247,18308,27.02138843159144,ACK,0,Normal,2025-11-07 01:00:45.274779,flow_000076
192.168.40.163,8.8.172.98,53109,443,HTTP,129,34096,29.345604889064617,,0,Normal,2025-11-06 16:52:22.274781,flow_000077
192.168.41.225,8.8.170.114,56896,80,HTTP,240,27679,4.5706518792154816,"PSH,ACK",0,Normal,2025-11-06 14:56:07.274783,flow_000078
192.168.84.181,8.8.12.56,51115,80,TCP,465,14369,19.511633220164892,,0,Normal,2025-11-06 20:31:00.274787,flow_000081
203.0.150.133,10.0.17.46,40962,311,TCP,5,61,0.02653344333571552,SYN,1,Reconnaissance,2025-11-06 07:41:59.274788,flow_000082
192.168.198.152,8.8.8.8,62241,53,UDP,6,258,0.04194860517144923,,0,Normal,2025-11-06 11:24:13.274790,flow_000084
192.168.223.253,10.0.77.28,50154,587,TCP,150,9679,30.84233535002509,"PSH,ACK",0,Normal,2025-11-06 10:43:14.274793,flow_000086
192.168.73.147,8.8.153.38,58904,443,HTTPS,143,18553,15.648997984801314,ACK,0,Normal,2025-11-06 22:05:14.274794,flow_000087
203.0.148.65,10.0.32.136,48099,292,TCP,7,199,0.044766957339365344,"SYN,RST",1,Reconnaissance,2025-11-06 04:24:12.274796,flow_000089
192.168.133.245,10.0.120.78,62027,587,TCP,121,17660,5.622625940655683,"FIN,ACK",0,Normal,2025-11-06 12:58:32.274798,flow_000090
192.168.158.201,8.8.44.188,53561,443,HTTPS,414,22726,23.811675600801383,,0,Normal,2025-11-06 14:16:53.274799,flow_000091
192.168.40.237,10.0.143.94,63717,993,TCP,281,13735,41.845022539281715,"PSH,ACK",0,Normal,2025-11-06 19:52:47.274802,flow_000093
192.168.178.251,10.0.142.97,60518,993,TCP,27,5243,26.532368379674267,"FIN,ACK",0,Normal,2025-11-06 10:50:37.274803,flow_000094
192.168.240.200,8.8.33.154,57121,80,HTTP,266,35380,24.731738031529325,"PSH,ACK",0,Normal,2025-11-06 08:17:49.274807,flow_000097
192.168.138.121,8.8.137.26,57336,80,TCP,250,28264,26.03091069144428,,0,Normal,2025-11-06 17:56:38.274809,flow_000098
192.168.18.84,10.0.25.227,51101,22,TCP,140,11897,22.496227871718595,"FIN,ACK",0,Normal,2025-11-06 09:45:04.274812,flow_000100
192.168.211.41,10.0.158.78,57123,25,TCP,40,12344,57.01087440649613,"PSH,ACK",0,Normal,2025-11-06 07:20:32.274817,flow_000104
192.168.108.189,8.8.8.8,55500,53,UDP,4,369,0.6914265867495287,,0,Normal,2025-11-06 21:42:03.274819,flow_000105
192.168.209.57,10.0.177.53,50238,25,TCP,43,9483,29.87574533016217,"PSH,ACK",0,Normal,2025-11-07 00:25:43.274820,flow_000106
192.168.30.206,8.8.187.147,51491,80,HTTPS,30,18756,15.800005748724745,"PSH,ACK",0,Normal,2025-11-06 04:02:30.274822,flow_000108
203.0.56.165,10.0.77.185,58648,1433,HTTPS,430,51028,4.9230124026275215,"PSH,ACK",1,Exploits,2025-11-06 07:53:57.274825,flow_000109
192.168.220.14,10.0.204.203,64326,587,TCP,299,12029,40.52853647780346,"PSH,ACK",0,Normal,2025-11-06 15:13:11.274826,flow_000110
192.168.125.48,8.8.57.11,64946,443,HTTP,166,9724,20.705989142402245,ACK,0,Normal,2025-11-06 08:50:48.274829,flow_000112
203.0.14.85,10.0.175.80,40879,799,TCP,9,190,0.0792229716512068,"SYN,RST",1,Reconnaissance,2025-11-06 18:14:36.274830,flow_000113
192.168.142.189,10.0.121.251,63617,587,TCP,90,5696,23.907728377765512,"FIN,ACK",0,Normal,2025-11-06 21:45:55.274831,flow_000114
203.0.123.68,10.0.217.111,45738,301,TCP,2,70,0.07468129576294004,RST,1,Reconnaissance,2025-11-06 19:08:49.274832,flow_000115
192.168.17.51,8.8.22.145,59430,80,HTTPS,212,8273,25.241450648966516,,0,Normal,2025-11-06 03:39:44.274834,flow_000116
192.168.201.184,8.8.8.8,59771,53,UDP,7,138,0.050073128605527394,,0,Normal,2025-11-06 11:58:04.274835,flow_000117
192.168.50.203,8.8.135.158,65058,80,TCP,415,11802,10.637064485986112,,0,Normal,2025-11-06 20:23:04.274836,flow_000118
192.168.80.175,10.0.87.238,56925,993,TCP,47,5213,10.58377405390492,"PSH,ACK",0,Normal,2025-11-06 09:42:33.274839,flow_000120
192.168.58.196,8.8.153.156,60700,80,TCP,224,35243,10.777254456736486,,0,Normal,2025-11-07 02:48:43.274840,flow_000121
10.0.169.218,203.0.54.172,64543,6666,TCP,189,20163,47.50627722766383,ACK,1,Backdoor,2025-11-06 21:31:29.274841,flow_000122
192.168.16.155,10.0.79.146,55012,993,TCP,49,9288,6.9399817593434685,"PSH,ACK",0,Normal,2025-11-06 16:25:23.274843,flow_000123
192.168.246.169,10.0.110.239,55722,587,TCP,119,2106,42.31712296900968,"PSH,ACK",0,Normal,2025-11-06 11:50:26.274844,flow_000124
192.168.163.73,8.8.157.244,65194,443,HTTPS,330,38217,25.318054022051914,ACK,0,Normal,2025-11-06 09:32:08.274845,flow_000125
192.168.237.171,10.0.95.211,64453,993,TCP,174,4965,16.392837356852567,ACK,0,Normal,2025-11-07 00:36:23.274846,flow_000126
192.168.20.6,10.0.75.95,57933,993,TCP,240,9454,4.249166191151581,ACK,0,Normal,2025-11-07 02:39:43.274848,flow_000127
192.168.152.32,8.8.217.42,61564,80,TCP,166,8961,2.518084255812462,"PSH,ACK",0,Normal,2025-11-06 12:56:21.274849,flow_000128
192.168.40.158,10.0.184.55,57649,587,TCP,250,5007,33.82070976760842,"FIN,ACK",0,Normal,2025-11-06 02:56:21.274851,flow_000129
192.168.250.247,8.8.4.8,60015,53,UDP,5,312,0.605069834412271,,0,Normal,2025-11-06 05:56:46.274852,flow_000130
192.168.127.8,10.0.201.6,58185,25,TCP,288,11112,19.09353871504183,ACK,0,Normal,2025-11-06 17:36:28.274855,flow_000132
192.168.81.82,8.8.4.4,57750,53,UDP,2,465,0.9644189537626918,,0,Normal,2025-11-07 00:54:58.274856,flow_000133
192.168.138.47,10.0.158.61,49322,22,TCP,29,15034,17.391049749640118,ACK,0,Normal,2025-11-06 05:21:27.274860,flow_000136
192.168.22.243,8.8.8.8,63343,53,UDP,10,188,0.19938350958994613,,0,Normal,2025-11-06 05:10:22.274861,flow_000137
203.0.137.249,10.0.45.180,48394,908,TCP,5,85,0.06716056549269675,"SYN,RST",1,Reconnaissance,2025-11-06 22:07:06.274863,flow_000138
192.168.45.47,8.8.4.4,65401,53,UDP,8,422,0.5216660188640836,,0,Normal,2025-11-06 07:32:41.274864,flow_000139
192.168.138.138,10.0.97.16,62726,22,TCP,195,16546,2.068155650262845,"FIN,ACK",0,Normal,2025-11-06 16:11:57.274865,flow_000140
192.168.240.148,10.0.82.36,57696,25,TCP,295,12955,12.038695379939664,"FIN,ACK",0,Normal,2025-11-06 11:02:12.274866,flow_000141
192.168.8.213,8.8.237.152,63383,80,HTTPS,420,27162,3.4841354091645846,ACK,0,Normal,2025-11-06 14:52:08.274867,flow_000142
192.168.121.225,8.8.222.245,65390,80,HTTP,95,48381,27.52889372738196,ACK,0,Normal,2025-11-06 22:35:57.274869,flow_000143
192.168.91.195,8.8.10.213,64589,443,TCP,169,18162,13.16186294166999,"PSH,ACK",0,Normal,2025-11-06 17:08:12.274870,flow_000144
192.168.24.149,10.0.184.161,53405,25,TCP,204,13671,6.450683297520246,"FIN,ACK",0,Normal,2025-11-06 16:53:25.274871,flow_000145
203.0.59.77,10.0.210.135,64688,80,UDP,5887,963409,1.5677777818967873,"SYN,ACK",1,DoS,2025-11-06 22:21:12.274873,flow_000146
192.168.124.152,8.8.205.191,63844,80,TCP,239,24847,26.70380023423317,"PSH,ACK",0,Normal,2025-11-07 01:24:56.274874,flow_000147
